시설명,시설주소,X,Y,현인원,사고건수
사랑쉼터의집,서울특별시 강동구 상암로79길 24,127.167275,37.54675,21.0,17.0
베다니장애인주간보호시설,서울특별시 양천구 남부순환로65길 12-2,126.8355747,37.5276171,13.0,44.0
가브리엘의집,서울특별시 용산구 후암로35길 22-23,126.9755132,37.550759,29.0,9.0
동천일리하우스,서울특별시 노원구 노원로18길 41,127.0733277,37.6444026,39.0,11.0
우리집,서울특별시 강서구 양천로47길 70-6,126.8375417,37.5733596,10.0,5.0
나눔공동체,서울특별시 강서구 등촌로13바길 59,126.8568033,37.5353336,4.0,0.0
선린원,서울특별시 강서구 까치산로22길 35-5,126.852947,37.5486028,10.0,7.0
잔디네집,서울특별시 마포구 월드컵로 190,126.9032758,37.5641963,2.0,28.0
푸른터,서울특별시 강서구 초록마을로26길 35-8,126.8494195,37.5390423,4.0,0.0
푸른터2호,서울특별시 강서구 화곡로13길 20-9,126.8337061,37.5410662,4.0,0.0
푸른터3호,서울특별시 강서구 허준로5길 37,126.8511459,37.5685604,4.0,15.0
강서뇌성마비복지관,서울특별시 강서구 방화대로 45길 69,126.8125801,37.5742085,500.0,28.0
그라나다보호작업센터,서울특별시 강서구 허준로5길 37,126.8511459,37.5685604,44.0,15.0
강서희망의집,서울특별시 강서구 강서로34길 36,126.8414972,37.5433356,10.0,50.0
주간보호센터햇볕교실,서울특별시 강서구 개화동로21길 4,126.8054428,37.570159,13.0,12.0
기쁜우리보호작업장,서울특별시 강서구 허준로 65,126.848903,37.5692246,33.0,5.0
강서구휴먼희망일터,서울특별시 강서구 강서로 466,126.8414929,37.5668896,23.0,18.0
다복스위트홈,서울특별시 노원구 상계로5길 22-94,127.0631897,37.6573558,4.0,0.0
마라제4공동생활가정,서울특별시 송파구 마천로39길 35,127.1492915,37.5004139,4.0,22.0
양지골장애인주간보호시설,서울특별시 구로구 구로중앙로28길 62,126.8890633,37.5000345,12.0,25.0
리드릭,서울특별시 영등포구 양산로 96양산로 96,126.8935759,37.5238068,51.0,0.0
마포구립장애인직업재활센터(수아밀),서울특별시 마포구 매봉산로 18,126.889907,37.574151,31.0,5.0
강남세움주간보호센터,서울특별시 강남구광평로60길 22,127.106901,37.4870564,16.0,18.0
파랑새교육원주간보호,서울특별시 강서구 까치산로 134,126.8514151,37.5492915,13.0,18.0
화곡성모공동생활가정,서울특별시 강서구 초록마을로24길 7-8,126.850833,37.5386307,4.0,7.0
강남장애인복지관,서울특별시 강남구 개포로 605,127.073463,37.4919944,314.0,15.0
헬렌의집장애인단기보호시설,서울특별시 구로구 구로중앙로27나길 18,126.8849881,37.4968719,11.0,16.0
로사리아공동생활가정,서울특별시 강서구 초록마을로24길 7-8,126.850833,37.5386307,4.0,7.0
우리집주간보호,서울특별시 강서구 양천로47길 70-6,126.8375417,37.5733596,12.0,5.0
꿈손단기거주시설,서울특별시 강북구 인수봉로61길12-4,127.012855,37.6385449,12.0,9.0
금천구수어통역센터,서울특별시 금천구 시흥대로147길 30-15,126.8962006,37.4747782,30.0,0.0
시각장애인주간보호센터,서울특별시 중구 퇴계로20길 41-11,126.9867946,37.5587736,15.0,12.0
동대문구수어통역센터,서울특별시 동대문구 청계천로 521,127.0340663,37.5718151,600.0,22.0
샬롬의 집,서울특별시 강서구 방화대로7가길 11,126.8156968,37.5568937,15.0,7.0
디딤돌공동생활가정,서울특별시 도봉구 우이천로 446-11,127.017232,37.6534629,3.0,0.0
역삼주간보호센터,서울특별시 강남구 테헤란로8길 36,127.031845,37.4964913,16.0,72.0
신망애공동생활가정,서울특별시 강남구 도산대로50길 33-3,127.0380359,37.5202486,4.0,0.0
서로함께공동생활가정,서울특별시 강남구 선릉로146길 27-4,127.0424254,37.5220574,4.0,55.0
똘레랑스,서울특별시 은평구 연서로21길 31-0,126.9143924,37.6154393,25.0,37.0
마로니에공동생활가정,서울특별시 종로구 혜화로12길 20-10,127.0004607,37.5896719,3.0,3.0
영락주간보호센터,서울특별시 중구 수표로 33,126.9887784,37.5633994,13.0,29.0
성모주간보호센터,서울특별시 성동구 독서당로44길 25,127.0206289,37.544853,15.0,2.0
지앤지주간보호센터,서울특별시 도봉구 삼양로 574-44,127.0139816,37.6543821,15.0,5.0
동문장애인복지관,서울특별시 동대문구 장안벚꽃로 7길 5,127.0731949,37.5832322,0.0,19.0
성민그룹홈,서울특별시 도봉구 우이천로47길 10,127.0153409,37.6549735,4.0,3.0
파란마음주간보호센터,서울특별시 중구 다산로22길 11,127.0130372,37.5576775,19.0,29.0
구립용산장애인복지관,서울특별시 용산구 효창원로93길 49,126.9617727,37.5474547,332.0,10.0
서초구립한우리정보문화센터,서울특별시 서초구 남부순환로340길 15,127.0248702,37.4821422,376.0,25.0
다니엘의집4호,서울특별시 강남구 도산대로4길 18-6,127.0210086,37.515196,4.0,120.0
행복한 집,서울특별시 마포구 성미산로 165-5,126.9245504,37.5649115,3.0,15.0
성민복지관,서울특별시 노원구 노원로32길 30-3,127.06922,37.6558278,340.0,34.0
기쁜우리복지관,서울특별시 강서구 허준로 65,126.848903,37.5692246,500.0,5.0
강북장애인종합복지관,서울특별시 강북구 오현로 189 강북장애인종합복지관,127.0390729,37.6287227,282.0,25.0
삼성소리샘복지관,서울특별시 동작구 양녕로30길 19-4,126.9459305,37.4991197,300.0,13.0
서울시립뇌성마비복지관,서울특별시 노원구 덕릉로70가길 96,127.0567606,37.6423379,639.0,17.0
서울시립상이군경복지관,서울특별시 노원구 덕릉로70가길 73-0,127.0580927,37.6423198,462.0,20.0
서울장애인종합복지관보호작업장,서울특별시 강동구 고덕로 201,127.1483522,37.5555414,30.0,9.0
성동장애인종합복지관,서울특별시 성동구 청계천로 506-0,127.033664,37.5703813,350.0,28.0
성북시각장애인복지관,서울특별시 성북구 동소문로25가길 20성북시각장애인복지관,127.0192147,37.5953654,320.0,39.0
실로암주간보호센터,서울특별시 관악구 조원로 127-2,126.9164901,37.4855259,10.0,0.0
에덴장애인종합복지관,서울특별시 구로구 고척로21가길 84-35,126.8412634,37.5012016,211.0,6.0
정립회관,서울특별시 광진구 워커힐로 93,127.0976391,37.5508019,1050.0,1.0
한국시각장애인복지관,서울특별시 강동구 구천면로 645,127.1690239,37.5509688,0.0,4.0
양천해누리복지관,서울특별시 양천구 목동동로 159,126.8699593,37.5198872,43.0,22.0
실로암시각장애인복지관,서울특별시 관악구 남부순환로 1717,126.9411517,37.4830211,1800.0,26.0
서부장애인종합복지관,서울특별시 은평구 갈현로11길 30,126.9068159,37.6056774,600.0,5.0
서대문장애인종합복지관,서울특별시 서대문구 북아현로 24,126.9570302,37.559478,1666.0,19.0
해나무일터,서울특별시 구로구 남부순환로 105라길 25-10,126.8905209,37.4815694,31.0,60.0
장애인주간보호센터청락원,서울특별시 금천구 금하로29길 36,126.9137487,37.4513835,15.0,5.0
사랑의복지관,서울특별시 서초구 강남대로65길 19,127.023991,37.4998664,10.0,88.0
하상장애인복지관,서울특별시 강남구 개포로 613,127.0750392,37.4925,780.0,14.0
희망의학교,서울특별시 광진구 천호대로 622,127.0863842,37.5539975,18.0,17.0
라파엘의집,서울특별시 종로구 필운대로2길 16,126.9697969,37.5788306,10.0,17.0
다운인의 집,서울특별시 노원구 노원로1길 21,127.0851487,37.6214487,4.0,40.0
장애인공동생활가정다움이네집,서울특별시 동작구 양녕로22마길 90,126.9468295,37.4990433,3.0,11.0
사랑의가족,서울특별시 서초구 사임당로20길 16,127.0210719,37.489255,4.0,0.0
사랑의그룹홈,서울특별시 서초구 효령로23길 61,126.9925493,37.4829926,4.0,7.0
성북그룹홈1호,서울특별시 성북구 개운사길 60-39,127.0302437,37.5902099,3.0,0.0
성북그룹홈2호,서울특별시 성북구 보국문로6길 5-11,127.0114455,37.6065118,3.0,49.0
사랑손공동생활가정소라네,서울특별시 동작구 대방동2길 36,126.9277231,37.5029288,4.0,11.0
아름다운집,서울특별시 노원구 공릉로62길 8,127.0721731,37.6355627,3.0,20.0
아이비해솔그룹홈,서울특별시 강동구 양재대로110길 15-5,127.1403233,37.5357546,4.0,0.0
아이비한울그룹홈,서울특별시 강동구 양재대로124길 67-14,127.1462695,37.5429559,3.0,0.0
아이비잎새그룹홈,서울특별시 강동구 양재대로135길 5-1,127.1431198,37.5484045,3.0,33.0
사랑손공동생활가정연희네,서울특별시 동작구 국사봉길 178,126.9341756,37.4935767,3.0,4.0
임마누엘관악1공동체공동생활가정,서울특별시 관악구 조원중앙로 44-32,126.9071874,37.4830136,4.0,0.0
임마누엘등촌공동체,서울특별시 강서구 공항대로39길 74,126.8448691,37.5604513,4.0,22.0
임마누엘영등포공동체,서울특별시 영등포구 영신로8길 9,126.9099437,37.5133982,3.0,29.0
충현의집1호,서울특별시 강남구 삼성로57길 33-1,127.058444,37.4972438,1.0,37.0
충현의집2호,서울특별시 강남구 학동로42길 55-10,127.0375601,37.5119801,1.0,0.0
충현의집3호,서울특별시 서초구 동산로12길 20,127.0456595,37.4708313,4.0,14.0
충현의집4호,서울특별시 강남구 선릉로146길 27-4,127.0424254,37.5220574,1.0,55.0
충현의집5호,서울특별시 강남구 삼성로147길 16-10,127.0465394,37.5219677,1.0,0.0
충현의집6호,서울특별시 강남구 삼성로67길 8-7,127.0583149,37.5013626,1.0,0.0
한마음1호공동생활가정,서울특별시 은평구 통일로89길 5-7,126.9193158,37.624286,4.0,0.0
기쁜우리체육센터,서울특별시 강서구 허준로 65,126.848903,37.5692246,300.0,5.0
서부재활체육센터,서울특별시 은평구 갈현로11길 30,126.9068159,37.6056774,1300.0,5.0
에스알씨(SRC)부설의원,서울특별시 관악구 보라매로 44,126.9274212,37.4931462,100.0,22.0
서울재활병원,서울특별시 은평구 갈현로11길 30-0,126.9068159,37.6056774,350.0,5.0
도봉장애인보호작업시설,서울특별시 도봉구 마들로 664-17,127.0474125,37.6696079,19.0,13.0
마라보호작업장,서울특별시 송파구 송이로34길 43-1,127.1288539,37.484523,22.0,17.0
성지보호작업장,서울특별시 강동구 동남로85길 15,127.155887,37.5612551,24.0,7.0
아이비장애인보호작업장,서울특별시 강동구 구천면로39길 12,127.1318737,37.5457138,30.0,31.0
은평보호작업장,서울특별시 은평구 갈현로11길 30,126.9068159,37.6056774,21.0,5.0
하은장애인보호작업장,서울특별시 양천구 목동동로8길 9,126.8707138,37.5179105,30.0,17.0
EM실천,서울특별시 금천구 서부샛길 648,126.8760629,37.4812005,30.0,11.0
꿈자람터장애인주간보호센터,서울특별시 강서구 공항대로43길 104,126.8516881,37.5608036,12.0,35.0
서울시립노원시각장애인복지관,서울특별시 노원구 덕릉로70가길 98,127.0567606,37.6423379,14332.0,19.0
늘푸른마을,서울특별시 강서구 까치산로22길 38,126.852497,37.5481283,13.0,8.0
효명장애인보호작업시설,서울특별시 송파구 올림픽로 269,127.1007352,37.5144538,19.0,91.0
서리풀주간이용센터,서울특별시 서초구 남부순환로340길 15,127.0248702,37.4821422,10.0,25.0
동작구수어통역센터,서울특별시 동작구 만양로3길 14,126.9469524,37.5080788,644.0,11.0
종로구수어통역센터,서울특별시 종로구 종로 17길 8,126.9889566,37.570684,598.0,59.0
양천구수어통역센터,서울특별시 양천구 목동중앙북로 68,126.870688,37.5465877,6704.0,37.0
성락주간보호,서울특별시 영등포구 도림로 304,126.9030335,37.504884,16.0,29.0
계명원,서울특별시 마포구 동교로 55-10,126.9084,37.5537239,10.0,0.0
열린마음하나,서울특별시 강서구 초록마을로16길 20,126.8495415,37.5411873,4.0,10.0
삼성그룹홈1호,서울특별시 동작구 양녕로 22마길 90,126.9468295,37.4990433,4.0,11.0
민들레쉼터장애인주간보호시설,서울특별시 구로구 가마산로 231,126.88603,37.4953222,7.0,26.0
드림하우스,서울특별시 양천구 곰달래로10길 19-1,126.837345,37.5284562,2.0,31.0
선한복지센터,서울특별시 강동구 양재대로91길 62,127.1329547,37.5288478,28.0,17.0
사랑나눔강동,서울특별시 강동구 양재대로112길 86,127.1444487,37.5357001,4.0,22.0
하나렘넌트장애인주간보호센터,서울특별시 마포구 월드컵로13길 19-13,126.9094309,37.5552651,12.0,18.0
위드그룹홈,서울특별시 은평구 갈현로15길 11-13,126.9093658,37.606781,4.0,9.0
서울시농아노인지원센터,서울특별시 용산구 원효로89길 33,126.967212,37.5407487,15.0,14.0
디딤돌주간보호센터,서울특별시 동작구 대방동7길 57,126.9249741,37.5015504,13.0,24.0
구립강서구직업재활센터,서울특별시 강서구 허준로 95-9,126.8517994,37.567421,65.0,17.0
작은숨골공동생활가정,서울특별시 서대문구 연희로41가길 103-7,126.9336853,37.5936891,4.0,2.0
서울시립미래형장애인직업재활시설그린내,서울특별시 서대문구 명지2길 14-0,126.9278717,37.5830581,58.0,13.0
논현제2공동생활가정,서울특별시 강남구 논현로113길 38-1,127.0301674,37.5077499,4.0,78.0
포도원복지센터,서울특별시 은평구 갈현로41길 48,126.9131673,37.6263429,12.0,0.0
마포구수어통역센터,서울특별시 마포구 월드컵로 213,126.9007883,37.5654456,3926.0,17.0
메타아카데미주간보호센터,서울특별시 강동구 양재대로121길 25,127.1400444,37.5425474,10.0,20.0
하나인장애인주간보호센터,서울특별시 광진구 능동로59길 14,127.0849167,37.5689511,10.0,12.0
희망일터,서울특별시 광진구 천호대로 622,127.0863842,37.5539975,28.0,17.0
서울시립미래형장애인직업재활시설굿윌스토어,서울특별시 송파구 마천로 226,127.1426933,37.5003887,53.0,23.0
소망의집,서울특별시 송파구 백제고분로 32길 32-1,127.0944827,37.4995633,4.0,12.0
사랑의집,서울특별시 송파구 오금로64나길 11-1,127.1486798,37.4917514,4.0,10.0
희망을긷는샘,서울특별시 강북구 삼양로163길 31-5,127.0116948,37.658605,3.0,10.0
내일을 꿈꾸는 사람들,서울특별시 노원구 동일로237바길 11-8,127.050221,37.6740962,3.0,12.0
로뎀나무,서울특별시 강서구 까치산로18나길 36,126.8495703,37.5458736,11.0,19.0
빛가람장애인시설,서울특별시 은평구 대서문길 36,126.9481882,37.655471,28.0,2.0
아름드리주간보호센터,서울특별시 동대문구 한천로58길 107,127.0701922,37.6013505,10.0,16.0
로뎀하우스,서울특별시 강서구 공항대로45가길 29,126.8536278,37.5570575,11.0,48.0
구립송파구장애인보호작업장,서울특별시 송파구 양산로 5,127.1427989,37.4899283,20.0,14.0
바우뫼주간보호센터,서울특별시 서초구 바우뫼로 43,127.0268847,37.4717563,10.0,8.0
맑은샘장애인주간보호시설,서울특별시 양천구 신월로 192,126.8442799,37.519563,12.0,20.0
다솜센터(시립서대문장애인단기보호센터),서울특별시 서대문구 증가로4길 58-16,126.9285115,37.5773744,10.0,30.0
보라매보호작업장,서울특별시 금천구 가산디지털2로 136,126.87965,37.480101,34.0,16.0
시립중랑장애인단기거주시설 행복누리,서울특별시 중랑구 겸재로61길 81,127.094418,37.5937737,11.0,28.0
드림장애인보호작업장,서울특별시 양천구 지양로 7,126.8377445,37.5174216,21.0,49.0
갑을충의장애인공동생활가정,서울특별시 관악구 난우16길 13-3,126.9176952,37.4775734,4.0,24.0
행복한나무,서울특별시 영등포구 양산로 96,126.8935759,37.5238068,20.0,32.0
갑을장애인직업휴먼센터,서울특별시 관악구 난우16길 13-7,126.9178829,37.4776981,30.0,24.0
우리마포보호작업장,서울특별시 마포구 신촌로26길 10,126.9421878,37.5558507,20.0,30.0
송파위더스,서울특별시 송파구 성내천로 333,127.1572816,37.4913412,18.0,11.0
렘넌트주간보호센터,서울특별시 송파구 동남로 303-8,127.1373608,37.5027837,11.0,12.0
우리마포장애인주간이용센터,서울특별시 마포구 신촌로26길 10,126.9421878,37.5558507,12.0,30.0
해누리하우스,서울특별시 양천구 곰달래로3길 24-12,126.8329559,37.5321214,3.0,31.0
사랑나눔송파,서울특별시 송파구 성내천로42길 11,127.1530856,37.4960278,4.0,15.0
유일장애인공동생활가정,서울특별시 도봉구 도봉로133길 14,127.0388839,37.6575743,4.0,37.0
효정,서울특별시 강북구 삼양로77길 38,127.0161674,37.6294813,39.0,24.0
한다솜장애인공동생활가정,서울특별시 강동구 아리수로74길 31-0,127.1609403,37.5613625,4.0,5.0
다사랑(대한정신보건가족협회),서울특별시 강서구 개화동로7길 3-16,126.7991964,37.5807014,29.0,22.0
프란치스코의집 단기거주시설,서울특별시 강북구 노해로23길 88-18,127.0194886,37.6472488,10.0,26.0
광진구수어통역센터,서울특별시 광진구 아차산로 417,127.0889296,37.5380999,46.0,10.0
초록등대장애인보호작업장,서울특별시 강서구 송정로1길 19,126.811228,37.5563769,29.0,17.0
강동구수어통역센터,서울특별시 강동구 성내로 52,127.1256774,37.528287,6038.0,19.0
강서나누리센터,서울특별시 강서구 공항대로7가길 21-3,126.813998,37.5627544,30.0,20.0
구립서대문장애인공동생활가정,서울특별시 서대문구 연희로41나길 5-6,126.9335753,37.5921736,4.0,3.0
갑을장애인주간보호센터,서울특별시 관악구 난우16길 13-7,126.9178829,37.4776981,11.0,24.0
군자작은예수의집,서울특별시 광진구 자양로35길 7-7,127.0866099,37.546743,10.0,16.0
종로장애인복지관,서울특별시 종로구 자하문로 89,126.9698189,37.5840898,1345.0,7.0
꿈터장애인주간보호센터,서울특별시 관악구 쑥고개로13길24,126.9440919,37.4806172,12.0,41.0
함재보호작업장,서울특별시 송파구 송파대로 412,127.1086416,37.504125,17.0,63.0
센터봄,서울특별시 강동구 천호대로 1210,127.145747,37.5348992,10.0,22.0
동천하우스6,서울특별시 노원구 한글비석로50길 12,127.0668826,37.6649468,4.0,19.0
덕유린장애인단기보호센터,서울특별시 종로구 지봉로12가길 49,127.0171418,37.5749339,10.0,33.0
성산푸른초장단기보호시설,서울특별시 강서구 양천로30길 14,126.822551,37.5725363,12.0,10.0
성산푸른초장주간보호시설,서울특별시 강서구 양천로30길 14,126.822551,37.5725363,16.0,10.0
보라향그룹홈,서울특별시 은평구 갈현로15길 11-13,126.9093658,37.606781,4.0,9.0
열린마음,서울특별시 강서구 초록마을로34길61,126.8449795,37.5384209,4.0,15.0
늘푸름보호작업장,서울특별시 구로구 부일로1나길38,126.8167567,37.4929412,37.0,1.0
희망일굼터,서울특별시 양천구 신정로267,126.8506219,37.512254,34.0,1.0
강서뇌성마비 주간보호,서울특별시 강서구 방화대로45길 69,126.8125801,37.5742085,12.0,28.0
내일을꿈꾸는사람들2호,서울특별시 노원구 동일로237다길 37,127.0524191,37.6752775,4.0,27.0
중증장애인다수고용사업장굿윌스토어밀알도봉점,서울특별시 도봉구 마들로 664-17,127.0474125,37.6696079,45.0,13.0
우리마포재활치료센터,서울특별시 마포구 신촌로26길10,126.9421878,37.5558507,,30.0
서울특별시중구장애인복지관,서울특별시 중구 퇴계로 460,127.0227986,37.5650915,190.0,38.0
금천구립장애인보호작업장,서울특별시 금천구 한내로 69-15,126.8868659,37.4578436,32.0,18.0
너나울공동생활가정,서울특별시 강북구 인수봉로60가길 24-7,127.0146043,37.636598,4.0,23.0
참사랑너나울주간보호센터,서울특별시 강북구 한천로143길 39,127.0231327,37.6404711,12.0,67.0
동문엔터프라이즈,서울특별시 동대문구 한천로 58-2,127.062656,37.5667038,25.0,24.0
강서구희망센터,서울특별시 강서구 화곡로31길 25,126.8419363,37.5441929,38.0,33.0
늘푸른집,서울특별시 강서구 금낭화로26가길 130,126.811404,37.5843473,10.0,2.0
하상점자도서관,서울특별시 강남구 개포로 613,127.0750392,37.4925,30.0,14.0
광림주간보호센터,서울특별시 강남구 압구정로22길 21,127.0267841,37.5242435,10.0,42.0
빛나눔보호작업장,서울특별시 은평구 수색로 390-29,126.8852254,37.59105,31.0,8.0
남산골주간보호센터,서울특별시 중구 퇴계로20길 41-11,126.9867946,37.5587736,13.0,12.0
영광시각장애인모바일점자도서관,서울특별시 서대문구 세검정로 78-19,126.9490362,37.5952111,30.0,27.0
강북장애인종합복지관주간보호시설,서울특별시 강북구 오현로 189,127.0390375,37.6287932,12.0,24.0
밀알그린보호작업장,서울특별시 강남구 밤고개로1길 34,127.1036079,37.4887823,21.0,50.0
강남 행복의집,서울특별시 강남구 논현로117길 12-4,127.0313977,37.5099049,4.0,43.0
강동행복의집,서울특별시 강동구 양재대로135길5-1,127.1431198,37.5484045,4.0,33.0
도봉단기보호시설,서울특별시 도봉구 마들로 709,127.0464655,37.673495,11.0,13.0
그린도봉주간보호센터,서울특별시 도봉구 도봉로 575,127.0387309,37.6563911,11.0,32.0
함께하네,서울특별시 도봉구 방학동 686-12,127.0397382,37.6649638,4.0,32.0
해피죤아동발달지원센터,서울특별시 강동구 상암로195,127.1441853,37.5466712,48.0,25.0
소망그룹홈4,서울특별시 강남구 언주로159길 21,127.0315043,37.5244506,4.0,31.0
소망그룹홈3,서울특별시 강남구 언주로159길 21,127.0315043,37.5244506,4.0,31.0
소망그룹홈2,서울특별시 강남구 언주로157길 22,127.0310631,37.5240821,4.0,30.0
루치아 공동생활가정,서울특별시 마포구 마포대로4라길41,126.9459851,37.5366175,4.0,27.0
맑은샘장애인단기거주시설,서울특별시 양천구 신월로192,126.8442799,37.519563,10.0,20.0
여호와닛시의집,서울특별시 강서구 방화동로5길38-7,126.8106411,37.5649438,3.0,15.0
서울곰두리체육센터,서울특별시 송파구 동남로 271,127.1321882,37.5020129,3000.0,23.0
H2빌,서울특별시 강서구 금낭화로26가길 130-0,126.811404,37.5843473,30.0,2.0
서울시각장애인생활이동지원센터,서울특별시 동작구 상도로 216-0,126.9426149,37.5050475,1019.0,23.0
공감보호작업장,서울특별시 성동구 아차산로144,127.0595971,37.5431089,20.0,23.0
행복플러스보호작업장,서울특별시 성북구 화랑로134,127.0463806,37.6049351,38.0,31.0
행복플러스 단기보호시설,서울특별시 성북구 화랑로134,127.0463806,37.6049351,15.0,31.0
비움,서울특별시 송파구 삼전로3길3-25,127.084144,37.5017019,3.0,12.0
장애인내일키움직업교육센터,서울특별시 서대문구 연희로33가길6-15,126.9344155,37.5776179,30.0,32.0
오뚜기직업재활센터,서울특별시 영등포구 영신로40길16,126.9030308,37.5211111,59.0,74.0
하늘아래주간보호시설,서울특별시 구로구 경인로23길8,126.844089,37.496763,10.0,34.0
하늘마음,서울특별시 중구 동호로11나길 35,127.0064027,37.5521142,4.0,4.0
오뚜기하우스,서울특별시 구로구 부일로871-16,126.8233991,37.4932067,6.0,10.0
교남발달지원센터,서울특별시 강서구 까치산로22길 38,126.852497,37.5481283,36.0,8.0
동천하우스7,서울특별시 도봉구 시루봉로17길47,127.0322563,37.6691403,3.0,12.0
동천하우스8,서울특별시 도봉구 시루봉로17길47,127.0322563,37.6691403,3.0,12.0
소망드림복지센터,서울특별시 강동구 양재대로116길,127.1433317,37.5381296,20.0,34.0
서울영동주간보호센터,서울특별시 강남구 논현로132길20,127.0322498,37.5149673,12.0,69.0
꿈터2장애인주간보호센터,서울특별시 관악구 쑥고개로13길24,126.9440919,37.4806172,10.0,41.0
예수와주간보호센터,서울특별시 강남구 압구정로22길21,127.0267841,37.5242435,11.0,42.0
행복을파는장사꾼,서울특별시 강서구 까치산로 134,126.8514151,37.5492915,31.0,18.0
성모자애단기거주시설미리암의집,서울특별시 강남구 헌릉로757길 35,127.1194761,37.4700435,15.0,0.0
희망하우스,서울특별시 광진구 능동로34길 102-5,127.0845519,37.5534322,10.0,3.0
참사랑 너나울 주간보호센터 2호,서울특별시 강북구 한천로143길 39,127.0231327,37.6404711,12.0,67.0
(주)의학신문사부설 아이맘인지발달연구소,서울특별시 광진구 동일로 357,127.0753924,37.5628781,80.0,18.0
예수성심우리엄마네,서울특별시 강북구 삼양로123길 14-19,127.0142246,37.6455331,4.0,23.0
다니엘의집5호,서울특별시 서초구 동산로12길 20,127.0456595,37.4708313,4.0,14.0
논현제3공동생활가정,서울특별시 강남구 학동로18길 23-1,127.0278238,37.511515,4.0,33.0
최종병기공동생활가정,서울특별시 서대문구 연희로41가길 103-13,126.9337084,37.5938372,3.0,2.0
위투게더,서울특별시 송파구 성내천로 239,127.1543678,37.4991325,10.0,9.0
꿈드래장애인일자리센터,서울특별시 동대문구 장한로28가길 70,127.0729733,37.5761338,13.0,20.0
푸르메재단넥슨어린이재활병원,서울특별시 마포구 월드컵북로 494,126.8805625,37.5846615,1488.0,8.0
푸르메스포츠센터,서울특별시 마포구 월드컵북로 494,126.8805625,37.5846615,5203.0,8.0
마포푸르메직업재활센터,서울특별시 마포구 월드컵북로 494,126.8805625,37.5846615,35.0,8.0
래그랜느보호작업장,서울특별시 강남구 양재대로55길13,127.0875113,37.4917015,11.0,17.0
휴샘아동가족발달센터,서울특별시 강서구 마곡중앙5로 81,126.8185752,37.5671206,35.0,13.0
구립동대문장애인종합복지관,서울특별시 동대문구 청계천로 521,127.0340663,37.5718151,,22.0
소망그룹홈1,서울특별시 강남구 언주로157길 22,127.0310631,37.5240821,4.0,30.0
sim 발달지원센터,서울특별시 광진구 천호대로136길 50,127.0899263,37.547637,50.0,15.0
하이드림,서울특별시 구로구 고척로21다길34-7,126.8432791,37.5034729,4.0,19.0
행복단기보호시설,서울특별시 송파구 성내천로 271,127.1544746,37.4963066,10.0,10.0
행복 보호작업장,서울특별시 송파구 성내천로 271,127.1544746,37.4963066,18.0,10.0
SG블루웰,서울특별시 금천구 두산로 70,126.8956021,37.4690079,31.0,40.0
소울터보호작업장,서울특별시 금천구 범안로1138,126.8884046,37.4657345,19.0,27.0
교남공동생활가정2호,서울특별시 강서구 초록마을로19길 12,126.8518656,37.5405457,4.0,4.0
하사랑주간보호,서울특별시 송파구 올림픽로35길 124,127.0992806,37.5188846,10.0,43.0
한우리보호작업장,서울특별시 서초구 남부순환로340길 15,127.0248702,37.4821422,20.0,25.0
늘품 장애인 보호작업장,서울특별시 서대문구 홍은중앙로 105,126.9484979,37.5998934,18.0,7.0
행복한사랑,서울특별시 송파구 오금로 548,127.1497095,37.4926566,10.0,13.0
강남세움단기보호센터,서울특별시 강남구 광평로60길 22,127.106901,37.4870564,10.0,18.0
관악구장애인종합복지관,서울특별시 관악구 남부순환로 1914,126.9618464,37.4774352,260.0,41.0
"효정1호,효정2호 공동생활가정",서울특별시 강북구 삼양로69길 42,127.0157678,37.6276878,6.0,23.0
동그라미 움직임 발달센터,서울특별시 광진구 자양로 135,127.0829161,37.5398297,17.0,14.0
성동재활의원,서울특별시 성동구 뚝섬로1길 43,127.0469729,37.5454156,30.0,18.0
다니엘치료센터,서울특별시 서초구 헌릉로468길 21-16,127.0920332,37.4604236,60.0,1.0
도봉장애인종합복지관,서울특별시 도봉구 마들로664-23,127.0477606,37.6694283,,12.0
행복이가득한집 2호,서울특별시 강서구 월정로18길 20,126.8398955,37.529193,3.0,37.0
참행복한세상,서울특별시 강서구 양천로 424,126.848,37.5641923,18.0,15.0
베데스다직업적응훈련시설,서울특별시 노원구 공릉로58마길 27,127.0776514,37.6364237,21.0,7.0
참사랑공동생활가정,서울특별시 강북구 한천로144길 27,127.0261705,37.6422498,4.0,52.0
하계장애인주간활동센터,서울특별시 노원구 노원로16길 15,127.0743507,37.6427975,10.0,23.0
송파구장애인직업재활지원센터,서울특별시 송파구 양산로 5,127.1427989,37.4899283,20.0,14.0
구립중림장애인주간보호센터,서울특별시 중구 서소문로6길 16,126.9661931,37.5594559,12.0,38.0
사랑단기보호센터,서울특별시 동작구 남부순환로255길 8,126.9712237,37.4764869,12.0,15.0
더원직업훈련센터,서울특별시 동대문구 장한로 25,127.0657951,37.5638196,20.0,54.0
행복주간보호센터,서울특별시 송파구 마천로 89,127.1303229,37.5069925,10.0,20.0
해피하우스,서울특별시 송파구 오금로 548,127.1497095,37.4926566,8.0,13.0
동안우리주간보호센터,서울특별시 강동구 풍성로 146,127.1281397,37.5309622,10.0,9.0
헬렌켈러의집 2호,서울특별시 강북구 삼양로91가길 8,127.0158309,37.6365179,4.0,28.0
라파아동발달센터,서울특별시 강동구,127.1470117,37.5504483,36.0,61.0
