시설명,X,Y
함께사는세상,194811.78133244888,543247.8252215504
한벗둥지,192501.7337271512,551768.1883779308
사랑샘,207117.6880689067,561137.4152863285
하은장애인주간보호시설,188957.89357024818,546527.4251628486
기쁨이 싹트는 나무,191238.04221797019,540007.7318674464
신나는 집 장애인공동생활가정,187168.16752204645,544751.0293563015
제4샬롬장애인공동생활가정,200626.90305691367,550573.2794397966
예은장애인주간보호시설,185245.54712533797,543844.3851385817
예은장애인공동생활가정,187801.41074381076,547199.1295669543
다은장애인공동생활가정,188221.3110515802,548213.408437101
강동단기보호시설,211446.85711211004,549017.7522691624
성민장애인주간보호소,206146.2604357113,561750.9666110391
라온채,186141.05231806808,544475.11903759
해피워크,203220.07357168317,556109.8561213146
아이티어빌리티센터,212109.43890959947,550560.6289142083
기원주간보호센터,192833.93880614798,558256.1969821338
한마음 주간보호센터,192260.15943591978,557160.2265492529
하늘꿈터,206214.74454193722,553404.7192529651
용산구수어통역센터,199211.1069813451,546777.9784754061
시립영등포장애인복지관,192297.39765798755,546815.7921975856
다운주간보호센터,207088.52492535577,557709.9623762729
모랫말꿈터,190899.63677452583,545612.7678735564
강동그린나래복지센터,212065.94645342923,550543.0516546976
성프란치스꼬민들레의집,191859.17485550343,545531.818312122
햇살터(성프란치스꼬),190316.88151611897,542464.1983665512
한마음2호공동생활가정,210386.05908874798,545741.2210591612
SG누리센터,191392.71187674737,538988.5051638439
노원1장애인주간보호센터,205341.3040726671,558939.5582523673
다사랑공동생활가정,201791.31362674356,559817.7665014773
다향공동생활가정,188083.4087597949,550763.1146892689
나자로의집보호작업장,194214.39957792443,542542.2982359731
북부(종합사회복지관)장애인주간보호센터,204622.63745443532,564439.113465304
실로암장애인근로사업장,194795.1346672426,542621.3149627262
중계1호,206147.63106415627,560428.1118876362
중계2호그룹홈,206147.63106415627,560428.1118876362
상계(종합사회복지관)장애인주간보호센터,206920.73181632295,563145.7812681881
평화장애인주간활동센터,206090.32415177298,560767.0880322917
영등포구주간보호센터,191864.40638767995,544235.8262452515
임마누엘신사공동체,192152.02993597914,555528.2878254501
임마누엘역촌공동체,192703.15108923658,555756.5773886144
서울남부주간보호센터,192849.1314021715,543694.5259958252
남부장애인공동생활가정1호,192376.73198743406,545681.1054088457
남부장애인공동생활가정2호,191746.34933890926,546004.5804112907
한빛장애인주간보호센터,185875.92519531256,546631.9326203506
관음의 집,191825.38797538003,539220.3861589793
지장의 집,191825.38797538003,539220.3861589793
노원시각장애인주간보호센터,205975.4812035093,562233.8703882372
원광장애인주간보호시설,208478.48182106798,556073.310077563
보라매주간보호센터,192849.1314021715,543694.5259958252
정겨우리주간보호센터,191771.78005402477,556237.133218867
정립회관주간보호센터,208627.92921028627,550146.9806368324
강서구수어통역센터,184218.3428940634,550471.2775947963
구로구수어통역센터,190327.7384735887,544043.8973927906
삼전주간보호시설,208395.8912249694,544411.5332453578
브니엘의 집,189995.4848820479,544086.1433709722
이수경하우스,207168.24456031696,563247.1486258124
송파시각장애인축구장,210388.61133711433,547258.1362848975
송파구장애인운전교육원,208890.85873205322,544138.7413795459
임마누엘시흥공동체,192209.30714769938,540211.2043897163
임마누엘독산공동체,191261.0153119582,540974.6112156941
임마누엘신월공동체,186264.65451017825,547147.1752563845
임마누엘신정공동체,187107.13001410232,547158.9117946194
임마누엘개봉공동체,186278.3365852614,544455.2356858084
임마누엘구로공동체,184967.0077643156,544582.5728499809
임마누엘화곡1공동체,187552.86748178364,548458.6338321533
임마누엘화곡공동체,187083.5680154211,547918.7605078506
임마누엘등촌1공동체,187768.4783076929,550666.8239119631
기쁜우리복지관부설주간보호시설,186651.52069523,552197.9334790496
충현복지관,203253.4935784472,544903.9467065514
해마을주간보호센터,206871.76483377785,543840.5163157817
중랑구수어통역센터,207656.12690371685,553300.8509202567
성모자애 엠마우스공동생활가정 1,210568.9483171037,541186.0524238386
성모자애엠마우스공동생활가정3호,210568.9483171037,541186.0524238386
성모자애공동생활가정,210568.9483171037,541186.0524238386
성모자애주간보호시설,210568.9483171037,541186.0524238386
성모자애제2주간보호센터,210568.9483171037,541186.0524238386
성모자애보호작업장,210568.9483171037,541186.0524238386
사랑손주간보호센터,197292.76686873878,542846.6857096714
서울특별시립장애인생산품판매시설,189582.84945650888,548650.9031100739
동작구립장애인보호작업장,194028.50286551012,545833.0404063531
성동주간보호센터,202973.9579863982,552316.1147844904
성모보호작업장,201639.05327124917,550382.2627707375
성동보호작업장,202973.9579863982,552316.1147844904
성동장애인복지관공동생활가정(믿음의집),201639.05327124917,550382.2627707375
성동장애인복지관공동생활가정(소망의집),201639.05327124917,550382.2627707375
성동장애인복지관공동생활가정(사랑의집),201639.05327124917,550382.2627707375
성동장애인복지관 공동생활가정(기쁨의 집),201893.11494713867,550341.3178058221
광진장애인보호작업장,207150.9837264096,552284.4110393765
은평구수어통역센터,191770.6713854527,553784.4335311766
정립장애인보호작업장,208627.92921028627,550146.9806368324
정립전자,208627.92921028627,550146.9806368324
보라매그룹홈,193504.96229473423,544083.963576866
자운그룹홈,203912.84382401302,565098.5968135302
까리따스장애인주간보호센터,198603.460519148,541703.2556035531
사랑의일터,201283.67976463732,542963.9461527778
교남공동생활가정4호,186417.30537690502,549135.797112126
교남공동생활가정1호,186639.11432149413,549581.7656583759
구로구립장애인보호작업장,184502.03197237776,543380.4215048428
동천재활체육시설,206471.52777337804,560533.6658801083
교남공동생활가정5호,186092.39525800926,549361.5519083065
서초구수어통역센터,201870.0907497896,544352.6809138266
서울남부보호작업장,192849.1314021715,543694.5259958252
서울장애인종합복지관,213108.39034659293,550678.8718979873
오뚜기뇌성마비인주간보호센터,205009.5387691672,560303.4915635223
참사랑주간보호센터,211522.7882165875,545288.1796873921
번동보호작업장,203196.77653773697,559275.7835445942
여성시각장애인주간보호센터,198554.19582668817,550885.9129998249
맑음터단기보호시설,194741.22130806115,549967.1498108106
연화직업재활원,209361.64838731533,544563.5172461477
사랑의복지관 재가복지봉사센터,202121.4186263186,544489.5659935212
하하센터,206120.04573284686,562774.2651196221
서초구립주간이용센터,202199.68211771295,542522.4326913542
라파엘 주간보호시설,197057.55594008687,553717.5886489054
서대문장애인주간보호시설,196495.5585616692,551257.6820808648
서은장애인단기보호시설,194105.7820988634,553032.1519720702
브니엘공동생활가정,192217.23018615015,555135.4140877292
벧엘공동생활가정,192123.91518578315,555159.0984348899
중계종합사회복지관장애인주간보호센터,206721.10737008823,561887.9978792053
새생명장애인주간보호소,191390.0150743931,545091.3157383362
비둘기주간보호시설,200455.68635373775,553787.5905080461
비둘기직업적응훈련센터,200455.68635373775,553787.5905080461
중구수어통역센터,198833.22248413623,551027.3456887741
미술작은예수의집,209270.8830939591,544671.9611628476
영등포구수어통역센터,192421.94046681814,546518.8305350189
노원구수어통역센터,206046.61172460509,562133.3983097621
(사)대한안마사협회부설안마수련원,201729.56829259454,543899.0689399625
한마음주간보호시설,201486.63105939914,560262.7415194685
한마음단기거주시설,201356.04737122872,560517.0853861662
햇빛자리,196420.88562922564,549050.950155841
마포장애인주간보호센터,191913.52006077048,551587.5962653728
마포점자도서실,191366.25785644393,551202.4959876981
피어라희망센터,203301.55785612215,561184.2708745531
무지개동산주간보호,212956.5485074942,544470.2024567609
송파구수어통역센터,210986.97473355778,543006.7559757647
성동구수어통역센터,202973.9579863982,552316.1147844904
마라주간보호센터,211396.31713275888,542794.177748043
주몽재활의원,214460.54855805004,549643.8512172834
장애인주간보호시설인강원,203741.3979285346,566110.7410844362
보호작업장 인강원,203741.3979285346,566110.7410844362
아미네,202695.29211569522,563115.0561397912
도봉주간보호센터,203044.37938508278,562592.6799051936
마라제3공동생활가정,208969.34183837648,544506.2153441584
마라제1공동생활가정,211396.31713275888,542794.177748043
마라제2공동생활가정,211396.31713275888,542794.177748043
충현보호작업장,203253.4935784472,544903.9467065514
THE채움,213492.53299489166,544171.5435398438
헬렌켈러의집,201397.30184130045,559656.1341434178
강남구수어통역센터,203592.29636389302,546441.4927334578
논현공동생활가정,202429.3727914267,545357.1588199326
하상주간보호센터,206636.03868861997,543674.3661908386
라온홈,192365.2476263418,550839.5625226982
한벗장애인주간보호시설,196481.01827419735,549261.6238153139
행복이가득한집,198213.01186382273,550023.7243112625
임마누엘목동공동체,188294.02522089178,549141.2101379485
실로암배움울타리,191700.55646326006,542451.7722873066
사랑쉼터의집,214782.1450221279,549705.9380203114
베다니장애인주간보호시설,185465.9711179216,547581.9742359752
가브리엘의집,197836.21035849227,550138.0205531968
동천일리하우스,206471.52777337804,560533.6658801083
우리집,185648.61335545822,552658.545453965
나눔공동체,187343.73366064762,548435.3424877715
선린원,187005.20229127788,549908.5893969279
잔디네집,191454.4461924341,551633.5168887896
푸른터,186691.78419858974,548847.9824098665
푸른터2호,185303.4394536937,549074.950706131
푸른터3호,186849.55029055418,552123.89872389
강서뇌성마비복지관,183443.7192356667,552756.8691144062
그라나다보호작업센터,186849.55029055418,552123.89872389
강서희망의집,185992.41876574527,549325.6375525965
주간보호센터햇볕교실,182812.2939067694,552308.7025139418
기쁜우리보호작업장,186651.52069523,552197.9334790496
강서구휴먼희망일터,185996.44693892312,551939.853911088
다복스위트홈,205575.83110214636,561970.6892031643
마라제4공동생활가정,213201.09823355713,544560.5309641188
양지골장애인주간보호시설,190190.37594114544,544513.733801771
리드릭,190592.38879985968,547151.6966954564
마포구립장애인직업재활센터(수아밀),190274.6108161343,552739.6726553241
